epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.122005,1.3985,3.68189,1.26895,0.00556,0.90909,0.02083,0.00663,1.2045,3.38432,0.97353,0,0,0
2,0.317639,1.1928,3.65311,1.11597,0.00556,0.90909,0.0244,0.00713,1.19917,3.38145,0.98397,1.9991e-05,1.9991e-05,1.9991e-05
3,0.49904,1.3095,3.5906,1.20298,0.00556,0.90909,0.01825,0.00647,1.19577,3.37953,0.98315,3.9964e-05,3.9964e-05,3.9964e-05
4,0.690959,1.25245,3.58721,1.12806,0.00556,0.90909,0.0221,0.00759,1.20656,3.36855,0.98173,5.9919e-05,5.9919e-05,5.9919e-05
5,0.847879,1.11856,3.52239,1.09296,0.00556,0.90909,0.01969,0.00685,1.21274,3.36552,0.98248,7.9856e-05,7.9856e-05,7.9856e-05
6,0.999938,1.24773,3.46213,1.17657,0.00611,1,0.04251,0.02862,1.31564,3.2887,0.94694,9.9775e-05,9.9775e-05,9.9775e-05
7,1.39951,0.99155,3.32817,1.03182,0.00611,1,0.2155,0.18705,1.23411,3.19477,0.92461,0.000119676,0.000119676,0.000119676
8,1.5955,1.07206,3.19985,1.04327,0.00611,1,0.33824,0.26476,1.24181,3.16501,0.91395,0.000139559,0.000139559,0.000139559
9,1.78558,1.02128,2.8689,1.01804,0.00611,1,0.74482,0.47295,1.25552,3.12205,0.91379,0.000159424,0.000159424,0.000159424
10,1.9761,1.05193,2.36966,0.96357,0.00611,1,0.905,0.57431,1.2539,3.0409,0.90698,0.000179271,0.000179271,0.000179271
11,2.16642,1.13524,2.2648,0.99506,0.00611,1,0.95214,0.55864,1.29161,2.99895,0.90916,0.0001991,0.0001991,0.0001991
12,2.36019,1.06383,1.80791,0.97081,0.00611,1,0.995,0.55407,1.28954,2.92559,0.9015,0.000218911,0.000218911,0.000218911
13,2.54298,1.02288,1.39878,0.9481,0.65027,1,0.995,0.56571,1.26672,2.84712,0.89838,0.000238704,0.000238704,0.000238704
14,2.72818,1.06396,1.76157,0.94625,0.0159,1,0.9875,0.5881,1.2202,2.81414,0.9026,0.000258479,0.000258479,0.000258479
15,2.923,0.99976,1.44767,0.966,0.00611,1,0.995,0.58358,1.21954,2.86681,0.90256,0.000278236,0.000278236,0.000278236
16,3.11832,1.17988,1.38667,1.01942,0.00611,1,0.995,0.59821,1.18538,2.91281,0.90374,0.000297975,0.000297975,0.000297975
17,3.30741,1.08439,1.33164,0.9688,0.00611,1,0.9875,0.59976,1.14801,2.97005,0.90982,0.000317696,0.000317696,0.000317696
18,3.49795,0.99862,1.26928,0.95538,0.00611,1,0.94031,0.61782,1.15835,2.98782,0.91454,0.000337399,0.000337399,0.000337399
19,3.69313,1.07363,1.46252,0.98029,0.00611,1,0.98,0.62988,1.21935,2.97728,0.94037,0.000357084,0.000357084,0.000357084
20,3.95333,1.06491,1.34613,1.00223,0.00611,1,0.9875,0.64034,1.23573,2.97496,0.94422,0.000376751,0.000376751,0.000376751
21,4.14876,1.04074,1.29134,0.98296,0.00611,1,0.9875,0.64252,1.23351,2.96844,0.94044,0.0003964,0.0003964,0.0003964
22,4.34049,0.95859,1.33391,0.97121,0.00611,1,0.92682,0.60363,1.24573,2.97181,0.95345,0.000416031,0.000416031,0.000416031
23,4.52701,0.91582,1.30145,1.02186,0.00611,1,0.867,0.55281,1.21637,3.01624,0.96313,0.000435644,0.000435644,0.000435644
24,4.71018,0.8987,1.1141,0.97247,0.00611,1,0.7309,0.45798,1.18038,3.05761,0.96611,0.000455239,0.000455239,0.000455239
25,4.89434,0.94562,1.25079,0.99235,0.00611,1,0.54926,0.35687,1.19305,3.07565,1.00167,0.000474816,0.000474816,0.000474816
26,5.07811,0.88791,1.28293,0.99921,0.00611,1,0.36484,0.20902,1.21651,3.1622,0.97995,0.000494375,0.000494375,0.000494375
27,5.26115,0.95671,1.37459,0.9769,0.00611,1,0.31523,0.17662,1.26575,3.17434,0.97462,0.000513916,0.000513916,0.000513916
28,5.44838,0.92017,1.16022,0.93036,0.00611,1,0.26454,0.15459,1.23545,3.1664,0.96808,0.000533439,0.000533439,0.000533439
